Frame	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	L1	L2	L3	L4	L5	L6	L7	L8
43	3.1597384859049003	9.68113716569527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
44	3.158839189065335	9.682135364996693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
45	3.156044394536028	9.672492972883598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
46	3.1634222193628996	9.6701171875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
47	3.1606849687828866	9.673747649016203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
48	3.1567556377493005	9.66486332000248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
49	3.1575716109502885	9.668793596540178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
50	3.1581705283745394	9.66799716848545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
51	3.1558020194216017	9.6635169942543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
52	3.155846673526254	9.650306661292989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
53	3.148685213948727	9.6511556635458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
54	3.14433788366747	9.643938078703703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
55	3.1398750051360307	9.635263336020172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
56	3.1078784977464373	9.613244693493717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
57	3.033020034461572	9.616436089409722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 24)	0	0	0	0	0	0	0
58	2.9628583083180766	9.614508605634095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('.', 8, 23)	0	0	0	0	0	0	0
59	2.9290017503115062	9.602806583788029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('.', 8, 23)	0	0	0	0	0	0	0
60	2.900319314049648	9.605418953062996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('.', 8, 23)	0	0	0	0	0	0	0
61	2.8587716619562498	9.580306247933201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('.', 8, 23)	0	0	0	0	0	0	0
62	2.8137400689968004	9.579798267505787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('.', 8, 23)	0	0	0	0	0	0	0
63	2.7672641229100736	9.568445793030754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
64	2.7277017370673153	9.569906503182871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
65	2.691684749028454	9.56370701058201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
66	2.6631213136537357	9.551047996238426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
67	2.6310909704219574	9.548109524842923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
68	2.5964635536706457	9.53957900597305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
69	2.5664113412397946	9.534006140976356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('S', 7, 23)	0	0	0	0	0	0	0
70	2.530321617649026	9.532129100012401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
71	2.494858892929764	9.518845589451058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
72	2.4569197068086885	9.515513522032077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
73	2.4216445753641245	9.508662535652281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
74	2.392465880083556	9.503673670531581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
75	2.3569207524289046	9.502104970134756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
76	2.3178852389858817	9.496954119646992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 6, 23)	0	0	0	0	0	0	0
77	2.2709385833939306	9.491830266720404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
78	2.2328000650325013	9.496446139219577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
79	2.201615617855343	9.500181749131944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
80	2.16535188136191	9.493111940414186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
81	2.132920571891451	9.49137130818039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
82	2.0978825215179784	9.494729662698413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
83	2.0659723300523254	9.491707356770833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 23)	0	0	0	0	0	0	0
84	2.032414540230489	9.49166259765625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
85	2.0029400690505494	9.489494977678572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
86	1.9669707274017036	9.479932867786871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
87	1.9236483048241821	9.47353515625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
88	1.8865544393182345	9.473165715939153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
89	1.8540127605530303	9.467355556588956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('G', 4, 23)	0	0	0	0	0	0	0
90	1.8155301293748232	9.459153271226025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
91	1.774156950535684	9.452375462446263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
92	1.7290069321285877	9.443519551917989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
93	1.6919336673564873	9.42963214854084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
94	1.6594931508541417	9.417708462508267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
95	1.6256531655049682	9.412223694816468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
96	1.587555042995943	9.394734248408565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 3, 23)	0	0	0	0	0	0	0
97	1.552541045993275	9.388407583085318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 2, 23)	0	0	0	0	0	0	0
98	1.5180718751025215	9.381287331555887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 2, 23)	0	0	0	0	0	0	0
99	1.463506285536157	9.375303108982308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 2, 23)	0	0	0	0	0	0	0
100	1.4205155462823658	9.36712497933201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 2, 23)	0	0	0	0	0	0	0
101	1.386935544496102	9.356679054542823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 2, 23)	0	0	0	0	0	0	0
102	1.3327125716038335	9.344414346684854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
103	1.2852439923917867	9.321752735925099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
104	1.248258769862106	9.315364970858134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
105	1.209594875243623	9.301840613632606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
106	1.172637964336995	9.278813825334822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
107	1.1392046996214307	9.268583170572917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 1, 23)	0	0	0	0	0	0	0
108	1.1035754427129119	9.251417694899141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('&', 0, 23)	0	0	0	0	0	0	0
109	1.0670539093266418	9.231063665157903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
110	1.044760117403293	9.21437064680473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
111	1.026077323386036	9.1938638677042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
112	1.01049465209304	9.172409332113922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
113	0.9931311106572956	9.14829837859623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
114	0.9836376249906835	9.137998098544973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
115	0.9855477388435459	9.109656343005952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
116	0.9752013367604991	9.086849087508266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
117	0.96299373318149	9.05323570291832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
118	0.9546385243758608	9.026789460358795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
119	0.9498044873714758	8.99869068287037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
120	0.9479684325813548	8.965374271453372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
121	0.9636327011944497	8.925472586495536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
122	0.9699127025566923	8.888300497065146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 0, 22)	0	0	0	0	0	0	0
123	0.9847418933776337	8.85298839750744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
124	0.9943550704587774	8.812910517939814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
125	1.0079460305788124	8.772544901207011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
126	1.0292298111041542	8.733750826719577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
127	1.049157395832537	8.698101968109292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
128	1.0714755863903864	8.665378792576059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
129	1.0874706176240228	8.62756515583664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('"', 0, 21)	0	0	0	0	0	0	0
130	1.1210993015913893	8.59617267588459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 21)	0	0	0	0	0	0	0
131	1.1492744303962723	8.55949577856316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 21)	0	0	0	0	0	0	0
132	1.1850733268673095	8.517762522218089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 21)	0	0	0	0	0	0	0
133	1.221974535231021	8.477568837322256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 21)	0	0	0	0	0	0	0
134	1.2586178316139973	8.444275871155755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 20)	0	0	0	0	0	0	0
135	1.2998324193288824	8.418789462942295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 20)	0	0	0	0	0	0	0
136	1.345592173422697	8.380168741216105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('U', 1, 20)	0	0	0	0	0	0	0
137	1.3840420045498065	8.351679209552744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('/', 2, 20)	0	0	0	0	0	0	0
138	1.4315399311759933	8.314215830646495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('/', 2, 20)	0	0	0	0	0	0	0
139	1.4765266398549934	8.287469773065476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('/', 2, 20)	0	0	0	0	0	0	0
140	1.5207706863244064	8.252573293857473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('/', 2, 20)	0	0	0	0	0	0	0
141	1.5750029813364606	8.212660951967592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('/', 2, 20)	0	0	0	0	0	0	0
142	1.6355439345975056	8.181376462260252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('&', 3, 20)	0	0	0	0	0	0	0
143	1.696328874203557	8.14238701068535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('&', 3, 20)	0	0	0	0	0	0	0
144	1.768272506280888	8.099808304398149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('&', 3, 20)	0	0	0	0	0	0	0
145	1.8514929110134495	8.04030425863922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('T', 4, 19)	0	0	0	0	0	0	0
146	1.936585910943934	7.992880200582837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('T', 4, 19)	0	0	0	0	0	0	0
147	2.019887222469203	7.944458653687169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('T', 4, 19)	0	0	0	0	0	0	0
148	2.0935823772751423	7.890627648086144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 19)	0	0	0	0	0	0	0
149	2.1787425885384017	7.842616037843088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 19)	0	0	0	0	0	0	0
150	2.248185936018912	7.7983116190269515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 5, 19)	0	0	0	0	0	0	0
151	2.315445835887414	7.757401077835648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('A', 6, 19)	0	0	0	0	0	0	0
152	2.3669775933591044	7.726225999297288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('A', 6, 19)	0	0	0	0	0	0	0
153	2.4163532941386503	7.699446549995867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 6, 18)	0	0	0	0	0	0	0
154	2.461530818553509	7.667883559131118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 6, 18)	0	0	0	0	0	0	0
155	2.504358938606596	7.657851123305225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 6, 18)	0	0	0	0	0	0	0
156	2.5425034415387517	7.635176724227017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
157	2.5820718119522366	7.6188673554274144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
158	2.6224909121120823	7.59615814370453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
159	2.666212344434008	7.580586945064484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
160	2.7061733947574744	7.554009977471892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
161	2.7388440870569957	7.539797892898479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 7, 18)	0	0	0	0	0	0	0
162	2.778115300516326	7.529403831845238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
163	2.8111738390340886	7.500264227327215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
164	2.8436962981202285	7.493289620535714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
165	2.8745987799458463	7.4790072002108134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
166	2.9038709266000686	7.461472284226191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
167	2.9359986341940525	7.440461787471065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
168	2.958896292321292	7.429939132771164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
169	2.9712657094857153	7.421747504340278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
170	2.987562846453145	7.414880887793485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('Y', 8, 18)	0	0	0	0	0	0	0
171	3.0106329062524684	7.387173574942129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 9, 18)	0	0	0	0	0	0	0
172	3.035300155908394	7.380073926814649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 9, 18)	0	0	0	0	0	0	0
173	3.064193203024668	7.353705124627976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 9, 18)	0	0	0	0	0	0	0
174	3.097129288018333	7.3456406689194775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('E', 9, 18)	0	0	0	0	0	0	0
175	3.1264085701222677	7.3167127821180555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 17)	0	0	0	0	0	0	0
176	3.1525979723249162	7.303964249545304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 17)	0	0	0	0	0	0	0
177	3.1911388379798087	7.277624576306217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 17)	0	0	0	0	0	0	0
178	3.225411553827673	7.2526092044890875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(' ', 9, 17)	0	0	0	0	0	0	0
179	3.2737705681110936	7.222290943287037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
180	3.320760496752914	7.19348312458664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
181	3.3615197967409856	7.1589155893477185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
182	3.398387744702005	7.125486214451058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
183	3.4354621603530915	7.095142376612103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
184	3.461535323778166	7.058902413504464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('B', 10, 17)	0	0	0	0	0	0	0
185	3.4858483328822385	7.042597307477679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 11, 17)	0	0	0	0	0	0	0
186	3.5126513837601574	6.999306007667824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 11, 17)	0	0	0	0	0	0	0
187	3.5240241397228105	6.975787579571759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('R', 11, 17)	0	0	0	0	0	0	0
188	3.537821337357115	6.944491012008102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
189	3.546372138046394	6.906361930080192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
190	3.5498045195338777	6.892377193390377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
191	3.550452004051333	6.86996566530258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
192	3.5520052303306744	6.852594866071429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
193	3.541884630704657	6.836765769675926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('', 11, 16)	0	0	0	0	0	0	0
